VERSE,SCRIPTURE
Verse 8,Yizwani nibone ukuthi uJehova muhle; ubusisiwe lowo muntu ophephela kuye.  
Verse 9,"Mesabeni uJehova nina bangcwele bakhe, ngokuba abasweli lutho abamesabayo.  "
Verse 10,"Amabhongo ezingonyama ayaswela, alambe, kepha abafuna uJehova abayikuswela lutho oluhle.  "
Verse 11,"Zanini, bantwana, ningilalele; ngizakunifundisa ukumesaba uJehova.  "
Verse 12,"Ngumuphi umuntu othanda ukuphila, ofisa izinsuku zokuba abone okuhle na?  "
Verse 13,"Londa ulimi lwakho kokubi, nezindebe zakho kukho ukukhuluma inkohliso.  "
Verse 14,"Deda kukho okubi, wenze okuhle; funa ukuthula, ukujonge.  "
Verse 15,Amehlo kaJehova akubo abalungileyo; izindlebe zakhe zikukho ukukhala kwabo.  
Verse 16,Ubuso bukaJehova bumelene nabenza okubi ukuba achithe ukukhunjulwa kwabo emhlabeni.  
Verse 17,"Labo bayakhala, uJehova uyezwa; uyabakhulula kuzo zonke izinhlupheko zabo.  "
Verse 18,UJehova useduze nabo abanenhliziyo eyaphukileyo; uyabasindisa abanomoya odabukileyo.  
Verse 19,"Ziningi izinhlupheko zolungileyo, kepha uJehova uyamkhulula kuzo zonke.  "
Verse 20,Uyawagcina onke amathambo akhe; alaphulwa nelilodwa kuwo.  
Verse 21,Okubi kuyakumbulala omubi; abazonda olungileyo bayakulahlwa ngecala.  
Verse 22,UJehova ukhulula umphefumulo wezinceku zakhe; akakho kwabamethembayo oyakuba necala.
Verse 23,
Verse 24,
Verse 25,
Verse 26,
Verse 27,
Verse 28,
Verse 29,
Verse 30,
Verse 31,
Verse 32,
Verse 33,
Verse 34,
Verse 35,
Verse 1,"Phikisana, Jehova, nabaphikisana nami, ulwe nabo abalwa nami.  "
Verse 2,"Thatha ihawu nesihlangu, uvuke, ungisize.  "
Verse 3,"Hosha umkhonto, uvimbe indlela kwabangizingelayo; yisho kuwo umphefumulo wami, uthi: “Mina ngiyinsindiso yakho.”  "
Verse 4,"Mabajabhe, bahlazeke abafuna umphefumulo wami; mababuyiselwe emuva, bajabhiswe abangisongelayo.  "
Verse 5,"Mababe njengamakhoba emoyeni, ingelosi kaJehova ibadudule.  "
Verse 6,"Indlela yabo mayibe mnyama, ibebushelezi, ingelosi kaJehova ibaxoshe.  "
Verse 7,"Ngokuba bangenzele ngasesitha igebe lenetha labo, kungekho sici, bembele umphefumulo wami umgodi, kungekho cala.  "
Verse 8,Ukubhujiswa makumehlele engazelele; inetha lakhe alibeke ngasesitha malimbambe yena; makawele kulo kube ngukubhujiswa kwakhe.  
Verse 9,"Khona umphefumulo wami uzakwethaba kuJehova, uthokoze ngokusindisa kwakhe.  "
Verse 10,"Onke amathambo ami azakuthi: “Jehova, ngubani onjengawe, wena okhulula ohluphekayo, yebo, ohluphekayo nompofu komphangayo, na?”  "
Verse 11,"Ofakazi abangalungile bayasukuma, babuza kimi engingakwaziyo.  "
Verse 12,Bangiphindisela okubi ngokuhle; umphefumulo wami bawusozisele.  
Verse 13,Kanti ekuguleni kwabo mina ngangembethe ezokuzila; umphefumulo wami ngawuhlupha ngokuzila ukudla; umkhuleko wami wabuyela esifubeni sami.  
Verse 14,Ngahamba kungathi bekungumngane wami nomfowethu; njengokhalela unina ngakhothama ngokulila.  
Verse 15,"Kepha ekuweni kwami bahlekisa ngami, babuthana ndawonye; abashayi engingabaziyo bangibunganyela; badumaza bengayeki.  "
Verse 16,Njengezinteli ezikhonzela ucezu lwesinkwa bangigedlela amazinyo.  
Verse 17,"Nkosi, lokho uzakukubukela kuze kube nini na? Sindisa umphefumulo wami ekubhubhiseni kwabo, ukuphila kwami ezingonyameni ezingamabhongo.  "
Verse 18,"Ngizakukubonga ebandleni elikhulu, ngikudumise phakathi kwabantu abaningi.  "
Verse 19,Mabangajabuli ngami abayizitha zami bengenasizathu; mabangaqwayizi amehlo abangizonda ngeze.  
Verse 20,"Ngokuba abakhulumi ukuthula, kepha baqamba amazwi enkohliso ngabazithuleleyo emhlabeni.  "
Verse 21,"Yebo, bangikhamisela kakhulu umlomo wabo, bathi: “Ashila, ashila, iso lethu liyabona!”  "
Verse 22,"Uyakubona, Jehova; mawungathuli; Nkosi, mawungabi kude nami.  "
Verse 23,"Vuka, usukumele ukwahlulelwa kwami, Nkulunkulu wami, Nkosi yami, umele icala lami.  "
Verse 24,"Ngahlulele ngokulunga kwakho, Jehova Nkulunkulu wami; mabangajabuli ngami.  "
Verse 25,"Mabangasho enhliziyweni yabo ukuthi: “He, kwaya ngesifiso sethu!” Mabangasho ukuthi: “Simgwinyile.”  "
Verse 26,"Mabajabhe, babe namahloni bonke abajabula ngokuhlupheka kwami; abazikhukhumeza ngami mabembathiswe ukujabha nendumazo.  "
Verse 27,"Mabethabe, bajabule abathokoza ngokulunga kwami; mabathi njalonjalo: “Makadunyiswe uJehova othokoza ngenhlanhla yenceku yakhe.”  "
Verse 28,"Ulimi lwami luzakushumayela ngokulunga kwakho, usuku lonke ngodumo lwakho."
Verse 29,
Verse 30,
Verse 31,
Verse 32,
Verse 33,
Verse 34,
Verse 35,
Verse 36,
Verse 37,
Verse 38,
Verse 39,
Verse 40,
Verse 41,
Verse 42,
Verse 43,
Verse 44,
Verse 45,
Verse 1,"Inkulumo yesiphambeko komubi, isekujuleni kwenhliziyo yami, ithi: Akukho ukumesaba uNkulunkulu phambi kwamehlo akhe.  "
Verse 2,"Ngokuba ukonakala kwakhe kuyamthopha emehlweni akhe, ukuze kungafunyanwa, azondeke ngakho.  "
Verse 3,Amazwi omlomo wakhe angukona nenkohliso; ukuyekile ukuhlakanipha nokwenza okulungileyo.  
Verse 4,"Uceba okubi ecansini lakhe, uzimisa endleleni engalungile; okubi kakwenyanyi.  "
Verse 5,"Jehova, ububele bakho bufinyelela ezulwini, nokuthembeka kwakho kuze kube semafwini.  "
Verse 6,"Ukulunga kwakho kunjengezintaba ezinkulukazi, ukwahlulela kwakho kulutwa olukhulu; usindisa abantu nezilwane, Jehova.  "
Verse 7,"Ububele bakho, Nkulunkulu, buyigugu elingaka; abantwana babantu bakhosela ethunzini lamaphiko akho.  "
Verse 8,"Bayakusutha ngamanoni endlu yakho, ubaphuzise okomfula wokuthokoza kwakho.  "
Verse 9,Ngokuba ukuwe umthombo wokuphila; ekukhanyeni kwakho siyakubona ukukhanya.  
Verse 10,"Mawume umusa wakho kubo abakwaziyo, nokulunga kwakho kubo abaqotho ngenhliziyo.  "
Verse 11,Unyawo loziqhenyayo malungangifikeli; nesandla somubi masingangixoshi.  
Verse 12,"Bheka, bawile abenza okubi; bawiswe phansi, abasenakuvuka."
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 1,"Ungazikhathazi ngababi, ungabi namhawu ngabenza okungalungile.  "
Verse 2,"Ngokuba bayakusikwa masinyane njengotshani, babune njengemithana eluhlaza.  "
Verse 3,"Themba kuJehova, wenze okulungileyo; hlala ezweni, uzondle ngokukholeka;  "
Verse 4,"zithokozise ngoJehova, yikhona ezakukunika okufiswa yinhliziyo yakho.  "
Verse 5,"Nikela indlela yakho esandleni sikaJehova, umethembe; yena uzakukwenza.  "
Verse 6,"Uzakuhlalukisa ukulunga kwakho njengokukhanya, nokufanele wena njengemini.  "
Verse 7,"Thula phambi kukaJehova, ulindele yena; ungakhathazeki ngonenhlanhla endleleni yakhe, ngomuntu osongoza amacebo amabi.  "
Verse 8,"Pheza ukuthukuthela; yeka ulaka, ungakhathazeki; kubanga ukona nje.  "
Verse 9,"Ngokuba ababi bazakuchithwa, kepha abalindela uJehova bazakudla ifa lomhlaba.  "
Verse 10,"Kuse ngumzuzwana, omubi angabe esabakho; kuyakuthi lapho uhlola indawo yakhe, uyakube engasekho.  "
Verse 11,"Kepha abathobekileyo bazakulidla ifa lomhlaba, bathokoze ngokuthula okukhulu.  "
Verse 12,"Omubi uyamsongela olungileyo ngokubi, amgedlele amazinyo.  "
Verse 13,"INkosi iyakumhleka, ngokuba iyabona ukuthi usuku lwakhe luyeza.  "
Verse 14,"Ababi bahosha inkemba, bansale umnsalo wabo ukuba bamwise phansi ohluphekileyo nompofu, babulale abandlela ilungile.  "
Verse 15,"Inkemba yabo izakungena kweyabo inhliziyo, iminsalo yabo yaphulwe.  "
Verse 16,Okuncane anakho olungileyo kungcono kunemfuyo yababi abaningi.  
Verse 17,"Ngokuba izingalo zababi ziyakwaphulwa, kepha uJehova uyabaphasa abalungileyo.  "
Verse 18,UJehova uyazazi izinsuku zabaqotho; ifa labo liyakuma kuze kube phakade.  
Verse 19,Abayikujabha esikhathini esibi; bayakusutha ezinsukwini zendlala.  
Verse 20,"Ngokuba ababi bayakubhubha; izitha zikaJehova zinjengobuhle bamadlelo: ziyakunyamalala, zinyamalale njengentuthu.  "
Verse 21,"Omubi uyatsheleka, angabuyiseli; kepha olungileyo unesihawu, aphane.  "
Verse 22,"Ngokuba ababusisiweyo bakhe bazakulidla ifa lomhlaba, kepha abaqalekiswa nguye bazakuchithwa.  "
Verse 23,Izinyathelo zomuntu ziqiniswa nguJehova; uyayithanda indlela yakhe.  
Verse 24,"Noma ekhubeka, akayikuwa phansi, ngokuba uJehova uphasa isandla sakhe.  "
Verse 25,"Kade ngimusha, manje sengimdala; angizange ngibone olungileyo eshiyiwe nenzalo yakhe iphanza ukudla.  "
Verse 26,"Usuku lonke uyahawukela, atsheleke, nenzalo yakhe iyisibusiso.  "
Verse 27,"Deda kokubi, wenze okuhle, uyakuhlala kuze kube phakade.  "
Verse 28,"Ngokuba uJehova uthanda ukulunga, akabashiyi abangcwele bakhe; bayalondolozwa kuze kube phakade, kepha inzalo yababi iyachithwa.  "
Verse 29,"Abalungileyo bazakudla ifa lomhlaba, bahlale kuwo njalonjalo.  "
Verse 30,Umlomo wolungileyo ushumayela ukuhlakanipha; ulimi lwakhe lukhuluma ukulunga.  
Verse 31,Umthetho kaNkulunkulu wakhe usenhliziyweni yakhe; izinyathelo zakhe azisheleli.  
Verse 32,"Omubi uqaphela olungileyo, ufuna ukumbulala.  "
Verse 33,UJehova akayikumnikela esandleni sakhe; akayikumlahla lapho ahlulelwa khona.  
Verse 34,"Lindela uJehova, ulonde indlela yakhe; uzakukuphakamisa, udle ifa lomhlaba, ubukele lapho ababi bechithwa khona.  "
Verse 35,Ngambona omubi oyisidlova ezenabisile njengomuthi oluhlaza ogxilileyo;  
Verse 36,"kwathi lapho umuntu edlula, bheka, wayengasekho; ngamfuna, kepha akabe esafunyanwa.  "
Verse 37,"Mbhekisise ongasolekiyo, umbone oqotho; ngokuba umuntu wokuthula, ukugcina kwakhe kuhle.  "
Verse 38,Kepha abaphambukayo bayakubhujiswa bonke; isikhathi sababi siyakunqunywa.  
Verse 39,Ukusindiswa kwabalungileyo kuvela kuJehova; uyinqaba yabo esikhathini sokuhlupheka.  
Verse 40,"UJehova uyabasiza, abakhulule; ubakhulula kwababi, abasindise, ngokuba bayamethemba."
Verse 41,
Verse 42,
Verse 43,
Verse 44,
Verse 45,
Verse 46,
Verse 47,
Verse 48,
Verse 49,
Verse 50,
Verse 51,
Verse 52,
Verse 53,
Verse 54,
Verse 55,
Verse 56,
Verse 57,
Verse 58,
Verse 59,
Verse 60,
Verse 61,
Verse 62,
Verse 63,
Verse 64,
Verse 1,"Jehova, ungangijezisi ngentukuthelo yakho, ungangishayi ngolaka lwakho.  "
Verse 2,Ngokuba imicibisholo yakho ingihlabile; isandla sakho singicindezele kanzima.  
Verse 3,Akukho ukuphila enyameni yami ngenxa yentukuthelo yakho; akukho ukuthula emathanjeni ami ngenxa yesono sami.  
Verse 4,Ngokuba iziphambeko zami zeqile phezu kwekhanda lami; njengomthwalo osindayo ziyangisinda.  
Verse 5,"Izilonda zami ziyanuka, zichicha ubovu ngenxa yobuwula bami.  "
Verse 6,"Ngikhonkobele, ngithotshisiwe kakhulu; usuku lonke ngihamba ngilila.  "
Verse 7,Ngokuba ukhalo lwami lutshutshumba kakhulu; akukho ukuphila enyameni yami.  
Verse 8,"Ngibuthakathaka, ngidubekile kabi; ngiyakhala ngenxa yokugqiha kwenhliziyo yami.  "
Verse 9,"Nkosi, ukufisa kwami konke kuphambi kwakho; ukububula kwami akufihlekile kuwe.  "
Verse 10,"Inhliziyo yami iyagquma kakhulu; amandla ami angishiyile, ngisho nokukhanya kwamehlo ami akusekho kimi.  "
Verse 11,Abathandekayo bami nabahlobo bami bemi kude nokuhlupheka kwami; abakwethu bemi kude laphaya.  
Verse 12,"Abafuna umphefumulo wami bayangicupha; abafuna ukungilimaza bakhuluma okubi, bazindla inkohliso usuku lonke.  "
Verse 13,"Mina kodwa nginjengesithulu, angizwa; nginjengesimungulu esingavuli umlomo waso.  "
Verse 14,"Yebo, nginjengomuntu ongezwayo; akukho ukuphikisa emlonyeni wakhe.  "
Verse 15,Ngokuba ngithemba wena Jehova; wena Nkosi Nkulunkulu wami uzakuphendula.  
Verse 16,"Ngokuba ngithe: “Funa bajabule ngami, ekusheleleni konyawo lwami bazikhukhumeze ngami.”  "
Verse 17,"Ngokuba ngiseduze kokuwa, nobuhlungu bami buphambi kwami ngezikhathi zonke.  "
Verse 18,Ngokuba ngiyabika ukona kwami; ngiyadabuka ngesono sami.  
Verse 19,"Kepha izitha zami ziphilile, zinamandla; baningi abangizonda ngeze.  "
Verse 20,"Abaphindisela okubi ngokuhle bamelene nami, ngokuba ngilandela okulungileyo.  "
Verse 21,"Ungangishiyi, Jehova; Nkulunkulu wami, ungabi kude nami.  "
Verse 22,"Phuthuma, ungisize, Nkosi, nsindiso yami."
Verse 23,
Verse 24,
Verse 25,
Verse 26,
Verse 27,
Verse 28,
Verse 29,
Verse 30,
Verse 1,"Ngithe: “Ngizakulinda izindlela zami ukuba ngingoni ngolimi lwami; ngizakugcina umlomo wami ngesifonyo, omubi esekhona phambi kwamehlo ami.”  "
Verse 2,"Ngabindela impela, ngathula nakukho okuhle; kwavuswa ubuhlungu bami.  "
Verse 3,Inhliziyo yami yavutha phakathi kwami; kwaphembeka umlilo ngisazindla; ngakhuluma ngolimi lwami.  
Verse 4,"“Jehova, ngazise ukuphela kwami, nesilinganiso sezinsuku zami ukuba siyini; mangazi ukuthi ngingodlulayo.  "
Verse 5,"Bheka, izinsuku zami wazenza zaba ngangobubanzi besandla; imihla yokuphila kwami ayilutho kuwe; impela yilowo nalowo muntu ungumoya nje, Sela*  "
Verse 6,"“Impela umuntu uhamba njengesithunzi nje; impela uzikhathaza ngokuyize nje; unqwabela imfuyo, kepha akazi ukuthi ngubani ozakuyibutha.  "
Verse 7,"“Kalokhu-ke, Nkosi, ngilindele ntoni na? Ithemba lami likuwe.  "
Verse 8,"Ngisindise kuzo iziphambeko zami, ungangenzi isithuko sesiwula.  "
Verse 9,"Ngiyathula, angivuli umlomo wami; ngokuba nguwe okwenzileyo.  "
Verse 10,"Susa kimi ukushaya kwakho, ngokuba ngiyaqedwa ngukushaywa yisandla sakho.  "
Verse 11,"Nxa ulaya umuntu ngesijeziso ngenxa yeziphambeko, ubuhle bakhe ubenza buphele njengenundu; Sela*  "
Verse 12,"“Yizwa umkhuleko wami, Jehova, ulalele ukumemeza kwami; ungathuli ngezinyembezi zami, ngokuba ngingumfokazi kuwe; ngiyisihambi njengokhokho bami bonke.  "
Verse 13,"Yeka ukungibuka, ngize ngincibilike, ngingakamuki lapha, ngingabe ngisabakho.”"
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 1,"Bengilindela uJehova; wayesezikhothamisela kimi, wezwa ukukhala kwami.  "
Verse 2,"Wangikhipha emgodini wokubhujiswa odakeni lobishi, wamisa izinyawo zami edwaleni, waqinisa izinyathelo zami.  "
Verse 3,"Wabeka igama elisha emlonyeni wami, igama lokubonga uNkulunkulu wethu; abaningi bayakukubona, besabe, bamethembe uJehova.  "
Verse 4,"Ubusisiwe umuntu obeka ithemba lakhe kuJehova, ongaphendukeli kwabazidlayo nakwabaphambukela emangeni.  "
Verse 5,"Jehova Nkulunkulu wami, ziningi izimangaliso zakho ozenzileyo, nezizindlo zakho ngathi; akukho okungafaniswa nawe; uma ngiyilanda, ngiyisho, miningi kunokuba ibalwe.  "
Verse 6,Umhlatshelo nomnikelo wokudla awuwuthandi; izindlebe zami uzibhobozile; umnikelo wokushiswa nomnikelo wesono awuwubizi.  
Verse 7,"Ngase ngithi: “Bheka, ngiyeza; encwadini esongwayo kulotshiwe ngami ukuthi:  "
Verse 8,"Ngiyathanda ukwenza intando yakho, Nkulunkulu wami, nomthetho wakho usenhliziyweni yami.”  "
Verse 9,"Ngishumayelile ukulunga ebandleni elikhulu; bheka, angizivalanga izindebe zami; Jehova, wena uyakwazi.  "
Verse 10,Ukulunga kwakho angikuthukusanga enhliziyweni yami; ngashumayela ukukholeka kwakho nensindiso yakho; umusa wakho neqiniso lakho angikufihlelanga ibandla elikhulu.  
Verse 11,Wena Jehova ungangigodleli ububele bakho; umusa wakho neqiniso lakho makungilonde njalo.  
Verse 12,"Ngokuba izinhlupheko ezingenakubalwa zingihaqile, iziphambeko zami zingificile, angaze ngaba nakubona; ziningi kunezinwele zekhanda lami; inhliziyo yami ingishiyile.  "
Verse 13,"Makuthandeke kuwe Jehova ukuba ungikhulule; Jehova, mawuphuthume ungisize.  "
Verse 14,"Mabajabhe, babe namahloni bonke abafuna umphefumulo wami ukuba bawuhlwithe; abafisa ukulimala kwami mababuyiselwe emuva, bajabhiswe.  "
Verse 15,"Mabashaqeke ngenxa yehlazo labo abathi kimi: “Ashila, ashila!”  "
Verse 16,"Mabethabe, bajabule kuwe bonke abakufunayo; abathanda insindiso yakho mabasho njalo, bathi: “Makadunyiswe uJehova.”  "
Verse 17,"Noma ngihlupheka, ngimpofu, iNkosi iyanginaka; wena ungumsizi wami noMsindisi wami; Nkulunkulu wami, mawungalibali."
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 25,
Verse 26,
Verse 27,
Verse 28,
Verse 1,Ubusisiwe onakekela ohluphekayo; uJehova uyakumsindisa osukwini olubi.  
Verse 2,"UJehova uyakumlondoloza, amphilise; uyakubusiswa emhlabeni; awuyikumnikela entandweni yezitha zakhe.  "
Verse 3,UJehova uyakumphasa ecansini egula; wena uyakuguqula ukhukho lwakhe ekuguleni kwakhe.  
Verse 4,"Mina ngithi: “Jehova, ngihawukele, uphulukise umphefumulo wami, ngokuba ngonile kuwe.”  "
Verse 5,"Izitha zami zikhuluma okubi ngami, zithi: “Uzakufa nini, igama lakhe lichitheke, na?”  "
Verse 6,"Nalapho kuza ozongibona, ukhuluma amanga; inhliziyo yakhe izibuthela ukonakala, abesephuma akhulume ngakho.  "
Verse 7,"Bonke abangizondayo banyenyezelana ngami: bangisongozela okubi, bathi:  "
Verse 8,“Into embi inamathele kuye; olele phansi kasayikululama.”  
Verse 9,"Yebo, nomhlobo wami ebengimethemba, obedla isinkwa sami, ungiphakamisele isithende sakhe.  "
Verse 10,"Kepha wena Jehova, ngihawukele, ungilulamise, ukuze ngibaphindisele.  "
Verse 11,"Ngalokho ngiyazi ukuthi uyangithanda, ngokuba isitha sami asihalalisi phezu kwami.  "
Verse 12,Mina uyangimisa ebuqothweni bami; uyangibeka phambi kobuso bakho kuze kube phakade.  
Verse 13,"Makabongwe uJehova uNkulunkulu ka-Israyeli, kusukela phakade kuze kube phakade. Amen, Amen."
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 1,"Njengendluzele ilangazelela amanzi emifula, kanjalo umphefumulo wami ulangazelela wena Nkulunkulu.  "
Verse 2,"Umphefumulo wami womela uNkulunkulu, uNkulunkulu ophilayo; ngiyakufika nini, ngibonakale phambi kukaNkulunkulu, na?  "
Verse 3,"Izinyembezi zami zingukudla kwami imini nobusuku, ngokuba usuku lonke bathi kimi: “Uphi uNkulunkulu wakho na?”  "
Verse 4,"Ngiyakukhumbula lokhu, ngithulule umphefumulo wami phakathi kwami, njengalokho ngangihamba esixukwini ngiya naso endlini kaNkulunkulu ngenhlokomo yokwethaba nokubonga, ibandla ligubha umkhosi.  "
Verse 5,"Yini ukuba udangale, mphefumulo wami, uyaluze phakathi kwami, na? Methembe uNkulunkulu, ngokuba ngisezakumdumisa ngokusindisa kobuso bakhe.  "
Verse 6,"Nkulunkulu wami, umphefumulo wami udangele phakathi kwami; ngakho-ke ngikhumbula wena ezweni laseJordani, nakwelamaHermoni, nasentabeni yaseMisari.  "
Verse 7,Utwa lubizana notwa ekuhlokomeni kwezimpophoma zakho; onke amadlambi akho namaza akho eqile phezu kwami.  
Verse 8,"Emini uJehova uyaleza umusa wakhe; ebusuku isihlabelelo sakhe sikimi, ngikhuleke kuNkulunkulu wokuphila kwami.  "
Verse 9,"Ngizakuthi kuNkulunkulu, iDwala lami: “Ungikhohlweleni na? Ngihambelani ngilila, ngicindezelwe yisitha, na?”  "
Verse 10,"Kunjengokuphohlozwa kwamathambo ami, nxa izitha zami zingiklolodela, zithi kimi usuku lonke: “Uphi uNkulunkulu wakho na?”  "
Verse 11,"Yini ukuba udangale, mphefumulo wami, uyaluze phakathi kwami, na? Methembe uNkulunkulu, ngokuba ngisezakumdumisa yena oyinsindiso yobuso bami noNkulunkulu wami."
Verse 12,
Verse 13,
Verse 14,
Verse 15,
Verse 16,
Verse 17,
Verse 18,
Verse 19,
Verse 1,"Ngahlulele, Nkulunkulu ungimele endabeni yami esizweni esingenamusa, ngikhulule kumuntu wenkohliso nongenakulunga.  "
Verse 2,"Ngokuba wena Nkulunkulu uyisiphephelo sami; ungilahleleni na? Ngihambelani ngilila, ngicindezelwe yisitha, na?  "
Verse 3,"Thuma ukukhanya kwakho neqiniso lakho, kungihole, kungiyise entabeni yakho engcwele nasezindlini zakho,  "
Verse 4,"ngize ngifike kulo i-altare likaNkulunkulu, kuNkulunkulu wenjabulo yokwethaba kwami, ngikudumise ngehabhu,* Nkulunkulu, Nkulunkulu wami.  "
Verse 5,"Yini ukuba udangale, mphefumulo wami, uyaluze phakathi kwami, na? ngisezakumdumisa yena oyinsindiso yobuso bami noNkulunkulu wami."
Verse 6,
Verse 7,
Verse 8,
Verse 9,
Verse 10,
Verse 1,"Nkulunkulu, sizwile ngezindlebe zethu, okhokho besilandisa ngesenzo owasenzayo emihleni yabo, emihleni yasendulo.  "
Verse 2,"Nguwe owabaxosha abezizwe ngesandla sakho, kepha bona wabatshala; wazichitha izizwe, kepha bona wabandisa.  "
Verse 3,"Ngokuba abalidlanga izwe ngenkemba yabo, nengalo yabo ayibasindisanga; kepha kwaba yisandla sakho sokunene, nengalo yakho, nokukhanya kobuso bakho, ngokuba wawubathanda.  "
Verse 4,Wena Nkulunkulu uyinkosi yami; yaleza ukusindiswa kukaJakobe.  
Verse 5,Ngawe sizakulahla phansi izitha zethu; ngegama lakho sizakunyathela abasivukelayo.  
Verse 6,"Ngokuba angiwethembi umnsalo wami, nenkemba yami ayingisindisi;  "
Verse 7,"kepha nguwe owasisindisa ezitheni zethu, wajabhisa abasizondayo.  "
Verse 8,Sizincoma ngoNkulunkulu usuku lonke; Sela*  
Verse 9,"Nokho ususilahlile, wasijabhisa; awusaphumi nezimpi zethu.  "
Verse 10,Usihlehlisela emuva esitheni; abasizondayo bayaziphangela.  
Verse 11,"Usinikezele ukudliwa njengezimvu, wasihlakaza phakathi kwabezizwe.  "
Verse 12,Uthengisa ngesizwe sakho ngokuyize; awuzuzi lutho ngokubiza ngaso.  
Verse 13,"Usenza isihlamba kubakhelwane bethu, inhlekiso nendumazo kwabasiphahlileyo.  "
Verse 14,"Usenza isaga kwabezizwe, banikine ikhanda phakathi kwabantu.  "
Verse 15,"Usuku lonke ukudunyazwa kwami kuphambi kwami, namahloni amboza ubuso bami  "
Verse 16,"ngenxa yoklolodayo nojivazayo, ngenxa yesitha nomphindiseli.  "
Verse 17,"Konke lokho kusehlele, kodwa asikukhohlwanga wena; asisaphulanga isivumelwano sakho.  "
Verse 18,"Inhliziyo yethu ayibuyelanga emuva; izinyathelo zethu aziphambukanga endleleni yakho,  "
Verse 19,"uze usiphahlaze endaweni yezimpungushe, usimboze ngethunzi lokufa.  "
Verse 20,"Uma ngabe sikhohliwe igama likaNkulunkulu wethu, sazelulela izandla zethu kunkulunkulu mumbe,  "
Verse 21,uNkulunkulu ubengayikukuhlola na? Ngokuba yena uyazazi izimfihlakalo zenhliziyo.  
Verse 22,"Yebo, ngenxa yakho sibulawa usuku lonke, siphathiswa okwezimvu zokuhlatshwa.  "
Verse 23,"Vuka, Nkosi! Ulaleleni na? Vuka, ungasilahli njalonjalo.  "
Verse 24,"Ubufihlelani ubuso bakho, ukhohlwe ukuhlupheka nokucindezelwa kwethu, na?  "
Verse 25,Ngokuba umphefumulo wethu ukhothamele othulini; umzimba wethu unamathele emhlabathini.  
Verse 26,"Sukuma, usisize, usihlenge ngenxa yomusa wakho."
Verse 27,
Verse 28,
Verse 29,
Verse 30,
Verse 31,
Verse 32,
Verse 33,
Verse 34,
Verse 35,
Verse 36,
Verse 37,
Verse 38,
Verse 39,
Verse 40,
Verse 41,
Verse 1,Inhliziyo yami iyachichima ngendaba enhle; ngikhuluma igama engiliqambe ngenkosi; ulimi lwami lulusiba loloba ngokushesha.  
Verse 2,Umuhle wena kunabantwana babantu; ubuhle buthululelwe ezindebeni zakho; ngakho-ke uNkulunkulu ukubusisile kuze kube phakade.  
Verse 3,"Bophela inkemba yakho okhalweni lwakho wena qhawe, kube ngukuphakama kwakho nobukhosi bakho.  "
Verse 4,"Hlahlameleka ebukhosini bakho, uqhubeke ngenxa yeqiniso nokuthobeka nokulunga; isandla sakho sokunene siyakukufundisa izinto ezesabekayo.  "
Verse 5,"Imicibisholo yakho ibukhali, izizwe ziyawa phansi kwakho; isenhliziyweni yezitha zenkosi.  "
Verse 6,"Isihlalo sakho sobukhosi, Nkulunkulu, singesaphakade naphakade; intonga yobuqotho iyintonga yombuso wakho.  "
Verse 7,"Ukuthandile ukulunga, wakuzonda okubi: ngakho-ke uNkulunkulu, uNkulunkulu wakho, ukugcobile ngamafutha enjabulo ngokungaphezu kwabangane bakho.  "
Verse 8,"Zonke izingubo zakho ziqholiwe ngenhlaka, nenhlaba, nekasiya;* ezindlini zobukhosi zophondo lwendlovu ukubethwa kwezingubhu zezintambo kukujabulisile.  "
Verse 9,"Amadodakazi amakhosi aphakathi kwabesifazane bakho abadumileyo; inkosikazi imi ngakwesokunene sakho, ihlobe igolide lase-Ofiri.  "
Verse 10,"Mawuzwe-ke, ndodakazi, uqaphele, ubeke indlebe yakho, ukhohlwe isizwe sakini nendlu kayihlo,  "
Verse 11,"yikhona inkosi izakubuthanda ubuhle bakho, ngokuba yona iyinkosi yakho, woyikhothamela.  "
Verse 12,"Indodakazi yaseTire, yebo, nabacebileyo babantu bancenga umusa wakho ngesipho.  "
Verse 13,"Indodakazi yenkosi inhle kakhulu, ilapho phakathi; ingubo yayo yalukiwe ngegolide.  "
Verse 14,Iyiswa enkosini igqoke izingubo ezifekethisiweyo; izintombi ezingabangane bayo ziyayilandela; ziyiswa kuwe.  
Verse 15,"Ziyiswa ngokujabula nangokwethaba, zingena endlini yenkosi.  "
Verse 16,Amadodana akho ayakuba sesikhundleni sawoyihlo; uyakuwabeka abe yizikhulu emhlabeni wonke.  
Verse 17,Igama lakho ngiyakulenza likhunjulwe ezizukulwaneni zonke; ngakho-ke izizwe ziyakukubonga kuze kube phakade naphakade.
Verse 18,
Verse 19,
Verse 20,
Verse 21,
Verse 22,
Verse 23,
Verse 24,
Verse 25,
